District_Key   , District       , Year_AD, Year_BS, Province              , Elevation_Min     , Elevation_Max    , Slope_Median      , Landform, Parent_Material, Dominant_Soil, area    , longitude, latitude, Potassium_mean   , Nitrogen_mean     , OrganicMatter_mean, Phosphorous_mean , pH_mean         , Barley_Area_Ha, Maize_Area_Ha, Millet_Area_Ha, Wheat_Area_Ha, Barley_Production_Mt, Maize_Production_Mt, Millet_Production_Mt, Wheat_Production_Mt, Barley_Yield_MtHa, Maize_Yield_MtHa, Millet_Yield_MtHa, Wheat_Yield_MtHa
DHANUSHA       , DHANUSHA       ,2020, 2076/77, Madhesh Province      ,57.4233512878418,713.773010253906,98.2833023071289, TH      , SC2            , RGd          ,1188.969,86.036,26.828,117.777688154344,0.0735737234147109,1.16454522040253,35.5936244754015,6.31621295115148, 2.0           , 3469.0       , 174.0         , 36374.0      , 2.0                 , 10989.0            , 177.0               , 120724.0           , 1.5              , 3.17            , 1.01             , 3.32
DOLAKHA        , DOLAKHA        ,2020, 2076/77, Bagmati Province      ,593.790100097656,6900.5400390625,2693.76489257812, TM      , MA2            , LPi          ,2147.002,86.201,27.785,267.905931334118,0.176616451923932,3.37109601314696,83.1804857363801,5.55297184695014, 146.0         , 5718.0       , 3635.0        , 4248.0       , 175.0               , 16684.0            , 5133.0              , 8454.0             , 1.2              , 2.92            , 1.41             , 1.99
DOLPA          , DOLPA          ,2020, 2076/77, Karnali Province      ,1501.69506835938,7731.5078125,4793.42724609375, TM      , MA2            , LPi          ,7946.52,83.054,29.171,461.043211815638,0.228555651369432,4.42490712685912,145.386666210252,6.69125391514782, 354.0         , 2354.0       , 277.0         , 2779.0       , 355.0               , 3729.0             , 305.0               , 5114.0             , 1.0              , 1.58            , 1.1              , 1.84
DOTI           , DOTI           ,2020, 2076/77, Sudurpashchim Province,304.0,3279.84936523438,1442.28552246094, TM      , MA2            , RGe          ,2050.89,80.896,29.17,332.010178875298,0.145198797458341,2.95759711654838,68.0059784101824,6.34229682480316, 191.0         , 3474.0       , 4575.0        , 12328.0      , 189.0               , 8712.0             , 5440.0              , 27482.0            , 0.99             , 2.51            , 1.19             , 2.23
GORKHA         , GORKHA         ,2020, 2076/77, Gandaki Province      ,228.5,7983.09521484375,3185.54467773438, TM      , MA2            , LPi          ,3647.014,84.792,28.319,255.023310534875,0.277566787372248,3.01872690749044,53.80943504015,5.81304031705723, 100.0         , 17703.0      , 11816.0       , 3561.0       , 141.0               , 47656.0            , 15654.0             , 8298.0             , 1.41             , 2.69            , 1.32             , 2.33
GULMI          , GULMI          ,2020, 2076/77, Lumbini Province      ,459.5,2677.65112304688,1278.63439941406, TM      , MA1            , CMe          ,1108.282,83.309,28.094,256.489081123057,0.148138481468956,3.26498679985971,162.218243641452,6.41361821607527, 243.0         , 24451.0      , 2896.0        , 6617.0       , 424.0               , 63269.0            , 3261.0              , 19586.0            , 1.75             , 2.59            , 1.13             , 2.96
HUMLA          , HUMLA          ,2020, 2076/77, Karnali Province      ,1173.0,6997.869140625,4668.60034179688, TV      , UF1            , RGe          ,6008.728,81.882,30.032,271.595296756269,0.15275020661515,3.95251302206632,150.338657875784,7.07807836321831, 622.0         , 146.0        , 1294.0        , 941.0        , 812.0               , 266.0              , 1383.0              , 1362.0             , 1.3              , 1.82            , 1.07             , 1.45
ILAM           , ILAM           ,2020, 2076/77, Koshi Province        ,115.0,3594.64208984375,1068.93518066406, TM      , MA2            , CMu          ,1685.818,87.904,26.881,379.664216725838,0.137195611548443,3.01750567665439,157.492232402046,6.04871962316365, 52.0          , 33815.0      , 1782.0        , 4608.0       , 64.0                , 126458.0           , 2406.0              , 13822.0            , 1.24             , 3.74            , 1.35             , 3.0
JAJARKOT       , JAJARKOT       ,2020, 2076/77, Karnali Province      ,607.0,5398.15869140625,2170.43347167969, TM      , MA2            , LPi          ,2222.519,82.17,28.865,431.388658320394,0.173539378601211,3.21414716599659,149.671178851275,6.4434617714514, 616.0         , 14047.0      , 1813.0        , 13774.0      , 699.0               , 37262.0            , 1855.0              , 29201.0            , 1.14             , 2.65            , 1.02             , 2.12
JHAPA          , JHAPA          ,2020, 2076/77, Koshi Province        ,59.761791229248,826.230651855469,102.456111907959, TM      , MA1            , CMe          ,1603.77,87.916,26.584,190.55327224687,0.104507366958155,2.38279226645097,51.1671486355456,5.60350384981523, 5.0           , 39302.0      , 1153.0        , 7125.0       , 9.0                 , 158985.0           , 1495.0              , 23014.0            , 1.87             , 4.05            , 1.3              , 3.23
JUMLA          , JUMLA          ,2020, 2076/77, Karnali Province      ,2035.96752929688,6546.94140625,3439.25695800781, TM      , MA2            , LPi          ,2554.398,82.219,29.272,454.209681142738,0.187106771067978,3.87881310172361,51.9879852131891,6.00101599634949, 3405.0        , 4404.0       , 3696.0        , 2271.0       , 5819.0              , 6858.0             , 3924.0              , 5396.0             , 1.71             , 1.56            , 1.06             , 2.38
KAILALI        , KAILALI        ,2020, 2076/77, Sudurpashchim Province,138.0,1952.61047363281,210.908737182617, TM      , MA1            , CMe          ,3286.136,80.881,28.742,198.395355728067,0.102388554938699,1.91030792930229,66.6993388544533,7.34758909198902, 176.0         , 6405.0       , 352.0         , 35950.0      , 370.0               , 18691.0            , 398.0               , 140545.0           , 2.1              , 2.92            , 1.13             , 3.91
KALIKOT        , KALIKOT        ,2020, 2076/77, Karnali Province      ,728.16845703125,4458.55029296875,2772.01440429688, TM      , MA2            , RGe          ,1640.156,81.754,29.195,444.087151248562,0.164069342785738,3.36061834015338,45.1702075502736,6.52851296859501, 821.0         , 3030.0       , 1227.0        , 4953.0       , 1298.0              , 6973.0             , 1399.0              , 6797.0             , 1.58             , 2.3             , 1.09             , 1.37
KANCHANPUR     , KANCHANPUR     ,2020, 2076/77, Sudurpashchim Province,159.152694702148,1505.19421386719,205.706359863281, LV      , UF1            , CMg          ,1618.111,80.323,28.862,131.272540609046,0.0896434820632919,1.77377424661822,34.5890023763427,7.30370091375685, 8.0           , 3271.0       , N/A           , 34554.0      , 12.0                , 8959.0             , N/A                 , 133032.0           , 1.5              , 2.74            , N/A              , 3.85
KAPILBASTU     , KAPILBASTU     ,2020, 2076/77, Lumbini Province      ,88.7635269165039,1265.87573242188,116.869033813477, TH      , SC2            , RGd          ,1651.659,82.983,27.628,203.623103057436,0.100917059609816,1.89117043368294,64.6511899229649,7.24225859112583, 177.0         , 2651.0       , N/A           , 26118.0      , 330.0               , 9938.0             , N/A                 , 103167.0           , 1.87             , 3.75            , N/A              , 3.95
KASKI          , KASKI          ,2020, 2076/77, Gandaki Province      ,383.5,7879.4404296875,2135.43920898438, TM      , MA2            , LPi          ,2085.276,83.999,28.355,178.985725944854,0.15442640435205,3.1027342045444,72.053408605867,5.63889217427502, 109.0         , 14111.0      , 15434.0       , 5650.0       , 175.0               , 37149.0            , 20706.0             , 13061.0            , 1.61             , 2.63            , 1.34             , 2.31
KATHMANDU      , KATHMANDU      ,2020, 2076/77, Bagmati Province      ,842.585571289062,2713.25439453125,1415.49719238281, TM      , MA1            , CMe          ,413.659,85.35,27.728,264.110593875468,0.15712586664956,3.18734821490731,103.441143050215,5.68077896464943, 3.0           , 5532.0       , 613.0         , 2075.0       , 4.0                 , 23192.0            , 742.0               , 9155.0             , 1.51             , 4.19            , 1.21             , 4.41
KAVRE          , KAVRE          ,2020, 2076/77, Bagmati Province      ,280.526916503906,2921.60424804688,1358.27575683594, SV      , UF2            , CMg          ,1394.031,85.622,27.535,298.620999192077,0.152830672384332,3.18282895525467,89.9861738568235,5.99011701081785, 367.0         , 24823.0      , 3444.0        , 8860.0       , 599.0               , 80137.0            , 3490.0              , 26591.0            , 1.63             , 3.23            , 1.01             , 3.0
KHOTANG        , KHOTANG        ,2020, 2076/77, Koshi Province        ,161.5,3623.7294921875,1295.84375, SV      , UF2            , CMg          ,1589.458,86.789,27.168,570.506424330257,0.164639770228709,3.36871857330258,142.774027765281,6.11313324047924, 350.0         , 42945.0      , 23535.0       , 5030.0       , 529.0               , 98986.0            , 26496.0             , 11569.0            , 1.51             , 2.3             , 1.13             , 2.3
LALITPUR       , LALITPUR       ,2020, 2076/77, Bagmati Province      ,414.401641845703,2810.4365234375,1518.54248046875, TM      , MB1            , CMx          ,396.834,85.345,27.539,328.699357392353,0.170693859182162,3.60404062064105,97.8892885375356,5.90752661792669, 38.0          , 9203.0       , 572.0         , 2512.0       , 55.0                , 34659.0            , 646.0               , 8671.0             , 1.45             , 3.77            , 1.13             , 3.45
LAMJUNG        , LAMJUNG        ,2020, 2076/77, Gandaki Province      ,374.116546630859,7849.52392578125,1924.53607177734, TM      , MA2            , LPi          ,1663.107,84.432,28.289,166.638125907701,0.156077489873808,3.29657830796891,114.977490910563,5.76887646030865, 39.0          , 10098.0      , 7708.0        , 1596.0       , 57.0                , 26397.0            , 8331.0              , 3910.0             , 1.46             , 2.61            , 1.08             , 2.45
MAHOTTARI      , MAHOTTARI      ,2020, 2076/77, Madhesh Province      ,58.5692291259766,793.34814453125,102.198787689209, TH      , SC2            , RGd          ,1000.874,85.822,26.879,89.0523401931743,0.105505414448629,1.53681448264249,35.7023984353165,6.21434485707373, 8.0           , 9733.0       , N/A           , 24373.0      , 9.0                 , 28853.0            , N/A                 , 74671.0            , 1.18             , 2.96            , N/A              , 3.06
MAKAWANPUR     , MAKAWANPUR     ,2020, 2076/77, Bagmati Province      ,139.0,2580.658203125,664.185089111328, TM      , MA1            , CMe          ,2443.827,85.081,27.47,248.747604545184,0.13183394525659,3.00095802938863,120.159976703518,5.78593868284733, 250.0         , 26169.0      , 2773.0        , 3929.0       , 348.0               , 85580.0            , 3308.0              , 14532.0            , 1.39             , 3.27            , 1.19             , 3.7
MANANG         , MANANG         ,2020, 2076/77, Gandaki Province      ,1477.93371582031,8034.90625,4928.43676757812, TM      , MA2            , LPi          ,2321.552,84.227,28.673,424.921603423183,0.325862603338019,4.32103379351421,141.003324216083,6.24244846556951, 109.0         , 70.0         , N/A           , 202.0        , 189.0               , 111.0              , N/A                 , 305.0              , 1.73             , 1.59            , N/A              , 1.51
MORANG         , MORANG         ,2020, 2076/77, Koshi Province        ,57.9486808776855,2364.02392578125,105.974941253662, TM      , MA1            , CMe          ,1822.713,87.473,26.617,181.23714618601,0.0942170460435101,1.92586307621722,37.6410558182245,6.32608321795286, N/A           , 17255.0      , 1218.0        , 12639.0      , N/A                 , 68286.0            , 1507.0              , 39434.0            , N/A              , 3.96            , 1.24             , 3.12
MUGU           , MUGU           ,2020, 2076/77, Karnali Province      ,1094.0,6809.84716796875,3999.96142578125, TM      , MA2            , LPi          ,3233.739,82.372,29.618,263.380068569702,0.125506275252399,4.08698874927317,186.690619187985,7.09450580244332, 1034.0        , 589.0        , 4218.0        , 3201.0       , 1158.0              , 941.0              , 4126.0              , 3986.0             , 1.12             , 1.6             , 0.98             , 1.25
MUSTANG        , MUSTANG        ,2020, 2076/77, Gandaki Province      ,1770.47045898438,6987.1884765625,4730.4482421875, TM      , MA2            , LPi          ,3564.949,83.86,28.981,379.323829357573,0.215011607281011,4.07517509544559,155.788660422972,6.63328320750388, 254.0         , 565.0        , N/A           , 535.0        , 471.0               , 967.0              , N/A                 , 887.0              , 1.85             , 1.71            , N/A              , 1.66
MYAGDI         , MYAGDI         ,2020, 2076/77, Gandaki Province      ,776.0478515625,8116.4580078125,3171.29016113281, TM      , MA2            , LPi          ,2285.539,83.462,28.553,353.13606139049,0.173414576561193,3.68759349691876,214.482872536434,6.04501443362091, 279.0         , 9180.0       , 2530.0        , 2812.0       , 372.0               , 31149.0            , 3296.0              , 7116.0             , 1.33             , 3.39            , 1.3              , 2.53
NAWALPARASIEAST, NAWALPARASIEAST,2020, 2076/77, Gandaki Province      ,106.5,1893.65856933594,337.243438720703, TM      , MA1            , CMe          ,1426.415,84.064,27.687,171.301081827196,0.121214691114625,2.32493160430211,53.2872014070441,6.07211767656373, 8.0           , 4207.0       , 256.0         , 8056.0       , 10.0                , 12892.0            , 287.0               , 23785.0            , 1.25             , 3.06            , 1.12             , 2.95
NAWALPARASIWEST, NAWALPARASIWEST,2020, 2076/77, Lumbini Province      ,99.0,1166.69519042969,115.263748168945, TH      , SC2            , RGd          ,726.466,83.741,27.528,116.764238598711,0.0844409889655,1.64869655736131,44.392201661222,7.34831070223391, 5.0           , 4968.0       , 226.0         , 8616.0       , 6.0                 , 15345.0            , 234.0               , 24985.0            , 1.23             , 3.09            , 1.04             , 2.9
NUWAKOT        , NUWAKOT        ,2020, 2076/77, Bagmati Province      ,412.0,5062.8427734375,1334.30712890625, TM      , MA2            , RGe          ,1193.274,85.238,27.915,225.217758376186,0.165817219876061,3.11697339822482,56.0506968669311,5.84125763226907, 152.0         , 16218.0      , 5245.0        , 4165.0       , 198.0               , 62235.0            , 6926.0              , 13745.0            , 1.3              , 3.84            , 1.32             , 3.3
OKHALDHUNGA    , OKHALDHUNGA    ,2020, 2076/77, Koshi Province        ,331.0,3433.61499023438,1487.54565429688, TM      , MA2            , CMu          ,1076.205,86.421,27.329,485.824933423802,0.181701865172169,3.66111232283744,119.537118790117,5.88399072874108, 80.0          , 12400.0      , 7585.0        , 2145.0       , 106.0               , 35844.0            , 14361.0             , 4569.0             , 1.32             , 2.89            , 1.89             , 2.13
PALPA          , PALPA          ,2020, 2076/77, Lumbini Province      ,218.424285888672,1890.34606933594,990.207244873047, TM      , MA1            , CMe          ,1462.567,83.626,27.817,256.894220190774,0.137318277557528,3.03297254540623,91.8766897122486,6.33758812670282, 19.0          , 21185.0      , 2655.0        , 5744.0       , 35.0                , 55766.0            , 3109.0              , 15673.0            , 1.83             , 2.63            , 1.17             , 2.73
PANCHTHAR      , PANCHTHAR      ,2020, 2076/77, Koshi Province        ,331.5,4615.68359375,1605.63793945312, SV      , UF2            , CMg          ,1248.063,87.778,27.115,316.494627782254,0.124330485249073,3.10273955703911,240.324144548503,6.10174908627369, 305.0         , 18983.0      , 4550.0        , 3904.0       , 446.0               , 41103.0            , 8432.0              , 8433.0             , 1.46             , 2.17            , 1.85             , 2.16
PARBAT         , PARBAT         ,2020, 2076/77, Gandaki Province      ,526.0,3286.6259765625,1395.09533691406, TM      , MA2            , CMu          ,541.664,83.681,28.211,207.84815559118,0.169950491356389,3.40349507110183,82.9595952352668,5.73858091079885, 81.0          , 13958.0      , 8499.0        , 2656.0       , 105.0               , 34843.0            , 8417.0              , 6772.0             , 1.3              , 2.5             , 0.99             , 2.55
PARSA          , PARSA          ,2020, 2076/77, Madhesh Province      ,75.6167449951172,846.730163574219,180.81787109375, TH      , SC2            , RGd          ,1407.074,84.782,27.239,106.294523352761,0.0890366639011917,1.41976793800242,32.6341705774616,6.12336358832026, 29.0          , 4580.0       , N/A           , 21992.0      , 42.0                , 17018.0            , N/A                 , 80822.0            , 1.46             , 3.72            , N/A              , 3.68
PYUTHAN        , PYUTHAN        ,2020, 2076/77, Lumbini Province      ,316.0,3612.08178710938,1253.53210449219, TM      , MA2            , RGe          ,1321.108,82.867,28.115,467.06105633097,0.109934012073795,2.36062430387048,171.061623965142,6.39066998109686, 468.0         , 11306.0      , 2182.0        , 7951.0       , 764.0               , 27986.0            , 2672.0              , 23693.0            , 1.63             , 2.48            , 1.22             , 2.98
RAMECHHAP      , RAMECHHAP      ,2020, 2076/77, Bagmati Province      ,402.5,6837.0185546875,1720.99377441406, TM      , MA2            , LPi          ,1564.314,86.18,27.513,315.893055471425,0.156598731635481,3.18118514770153,83.7272694841293,5.93530521552835, 63.0          , 21686.0      , 4831.0        , 3875.0       , 85.0                , 62121.0            , 5399.0              , 9106.0             , 1.35             , 2.86            , 1.12             , 2.35
RASUWA         , RASUWA         ,2020, 2076/77, Bagmati Province      ,613.395568847656,7204.4150390625,3741.8671875, TM      , MA2            , LPi          ,1501.12,85.418,28.183,303.947637318664,0.191512472635851,3.79950059194161,57.2098591681754,5.89673986838381, 253.0         , 2298.0       , 828.0         , 689.0        , 336.0               , 6088.0             , 814.0               , 1385.0             , 1.33             , 2.65            , 0.98             , 2.01
RAUTAHAT       , RAUTAHAT       ,2020, 2076/77, Madhesh Province      ,68.0,917.86962890625,94.2313232421875, TH      , SC2            , RGd          ,1038.392,85.305,27.001,145.125791774952,0.104901417803555,1.77976234057964,44.7550129427155,6.90008192576278, 3.0           , 3506.0       , 70.0          , 14987.0      , 5.0                 , 12421.0            , 73.0                , 55831.0            , 1.57             , 3.54            , 1.04             , 3.73
ROLPA          , ROLPA          ,2020, 2076/77, Lumbini Province      ,654.026062011719,3647.13012695312,1796.36608886719, TM      , MA2            , RGe          ,1885.559,82.63,28.344,528.747923482135,0.130187235876249,2.47086037775873,168.766012078651,6.57275978481274, 556.0         , 13438.0      , 1113.0        , 8407.0       , 661.0               , 34482.0            , 1276.0              , 24884.0            , 1.19             , 2.57            , 1.15             , 2.96
RUKUMEAST      , RUKUMEAST      ,2020, 2076/77, Lumbini Province      ,951.950073242188,7058.1689453125,3066.55224609375, TM      , MA2            , LPi          ,1682.362,82.813,28.674,491.578161899247,0.160993484393413,3.12617651203588,173.980011387344,6.40898419498412, 413.0         , 8154.0       , 468.0         , 5173.0       , 528.0               , 21148.0            , 597.0               , 14485.0            , 1.28             , 2.59            , 1.27             , 2.8
RUKUMWEST      , RUKUMWEST      ,2020, 2076/77, Karnali Province      ,677.0,5860.443359375,1998.69909667969, TM      , MA2            , LPi          ,1213.417,82.462,28.739,442.381061568601,0.168704690963043,3.26718599998588,130.428036643991,6.66100726858075, 41.0          , 10591.0      , 461.0         , 5673.0       , 518.0               , 21452.0            , 623.0               , 15772.0            , 1.25             , 2.03            , 1.35             , 2.78
RUPANDEHI      , RUPANDEHI      ,2020, 2076/77, Lumbini Province      ,86.0,1142.05590820312,112.945381164551, TH      , SC2            , RGd          ,1304.709,83.392,27.576,115.936022249062,0.095442283175747,1.78915764793836,62.5443438893856,6.82489525902767, 74.0          , 2639.0       , 46.0          , 26819.0      , 188.0               , 10359.0            , 52.0                , 95497.0            , 2.54             , 3.93            , 1.13             , 3.56
SALYAN         , SALYAN         ,2020, 2076/77, Karnali Province      ,325.5,2808.11694335938,1300.40625, TM      , MA1            , CMe          ,1880.396,82.146,28.402,355.109524139346,0.128866752380664,2.90151587040756,168.980671749596,6.50132504769655, 950.0         , 20005.0      , 1020.0        , 13992.0      , 1276.0              , 49386.0            , 1194.0              , 43375.0            , 1.34             , 2.47            , 1.17             , 3.1
SANKHUWASABHA  , SANKHUWASABHA  ,2020, 2076/77, Koshi Province        ,250.0,8205.7626953125,2620.14794921875, TM      , MA2            , LPi          ,3470.433,87.281,27.582,398.825121157752,0.185700416343397,3.80773490414778,73.6742350267876,5.61906991000148, 13.0          , 12858.0      , 6361.0        , 715.0        , 17.0                , 28147.0            , 8029.0              , 1681.0             , 1.31             , 2.19            , 1.26             , 2.35
SAPTARI        , SAPTARI        ,2020, 2076/77, Madhesh Province      ,61.1346588134766,436.26171875,90.0238037109375, TH      , SC2            , RGd          ,1281.516,86.749,26.598,148.06213714943,0.0779959378314166,1.42416968473388,40.5059233241752,5.98521416981909, N/A           , 3922.0       , 181.0         , 15314.0      , N/A                 , 12517.0            , 227.0               , 54343.0            , N/A              , 3.19            , 1.25             , 3.55
SARLAHI        , SARLAHI        ,2020, 2076/77, Madhesh Province      ,67.5,694.423034667969,106.920471191406, TH      , SC2            , RGd          ,1263.618,85.568,26.986,169.119553936461,0.117072027288068,1.89570595754801,38.29483183666,6.68646757017644, 62.0          , 11276.0      , 702.0         , 22479.0      , 71.0                , 37620.0            , 627.0               , 76592.0            , 1.14             , 3.34            , 0.89             , 3.41
SINDHULI       , SINDHULI       ,2020, 2076/77, Bagmati Province      ,132.0,2360.17016601562,648.122650146484, SV      , UF2            , CMg          ,2484.937,85.946,27.201,281.082031977321,0.112265382163962,2.63653583112347,64.8940609696022,5.87498102623433, 41.0          , 25657.0      , 11934.0       , 6875.0       , 65.0                , 81197.0            , 12163.0             , 19388.0            , 1.59             , 3.16            , 1.02             , 2.82
SINDHUPALCHOK  , SINDHUPALCHOK  ,2020, 2076/77, Bagmati Province      ,627.5,6741.48486328125,2240.38696289062, TM      , MA2            , CMu          ,2491.359,85.742,27.915,252.901880562627,0.164142701448149,3.29840492011591,48.8590104945705,5.74743952872731, 172.0         , 25168.0      , 16952.0       , 6908.0       , 205.0               , 70470.0            , 22079.0             , 13954.0            , 1.19             , 2.8             , 1.3              , 2.02
SIRAHA         , SIRAHA         ,2020, 2076/77, Madhesh Province      ,66.1186981201172,711.960205078125,106.20783996582, LV      , UF1            , CMg          ,1139.635,86.345,26.746,147.431112525522,0.0923899370857775,1.23714850424744,40.3012087168646,6.51857353889331, N/A           , 3991.0       , 435.0         , 11781.0      , N/A                 , 11993.0            , 450.0               , 41287.0            , N/A              , 3.01            , 1.03             , 3.5
SOLUKHUMBU     , SOLUKHUMBU     ,2020, 2076/77, Koshi Province        ,572.187255859375,8723.734375,4199.30297851562, TM      , MA2            , LPi          ,3354.998,86.723,27.71,464.994048785511,0.250034422181357,4.76855187048888,127.13538546226,5.29953872650607, 165.0         , 14050.0      , 1827.0        , 2669.0       , 193.0               , 35309.0            , 2460.0              , 5603.0             , 1.17             , 2.51            , 1.35             , 2.1
SUNSARI        , SUNSARI        ,2020, 2076/77, Koshi Province        ,62.5,1783.26843261719,91.5066986083984, SV      , UF2            , CMg          ,1192.082,87.173,26.65,168.060067495812,0.087669963221729,1.78891936899074,41.2430883540688,6.28370004291388, 11.0          , 8949.0       , 499.0         , 12959.0      , 24.0                , 27900.0            , 575.0               , 42117.0            , 2.25             , 3.12            , 1.15             , 3.25
SURKHET        , SURKHET        ,2020, 2076/77, Karnali Province      ,198.5,2713.39721679688,792.544799804688, TM      , MA1            , CMe          ,2486.202,81.588,28.641,381.785799519815,0.151245844332941,3.11244147073425,141.508321836535,6.83070319276825, 931.0         , 15011.0      , 2215.0        , 13941.0      , 1424.0              , 43844.0            , 2957.0              , 42425.0            , 1.53             , 2.92            , 1.34             , 3.04
SYANGJA        , SYANGJA        ,2020, 2076/77, Gandaki Province      ,307.5,2257.06518554688,983.070220947266, TM      , MA1            , CMe          ,1037.965,83.805,28.021,211.833580021596,0.136571969525882,2.90977127066108,66.3478699415328,6.07573561968281, 4.0           , 26275.0      , 15926.0       , 5098.0       , 6.0                 , 96452.0            , 20004.0             , 14509.0            , 1.65             , 3.67            , 1.26             , 2.85
TANAHU         , TANAHU         ,2020, 2076/77, Gandaki Province      ,182.0,2115.46044921875,645.626586914062, TM      , MA1            , CMe          ,1572.372,84.253,27.955,226.831505724621,0.166124147717232,2.71716293439456,50.8254619261619,5.87343715357533, 6.0           , 22835.0      , 6656.0        , 1643.0       , 6.0                 , 73594.0            , 6587.0              , 4119.0             , 1.03             , 3.22            , 0.99             , 2.51
TAPLEJUNG      , TAPLEJUNG      ,2020, 2076/77, Koshi Province        ,495.5,8543.11328125,3778.78991699219, TM      , MA2            , LPi          ,3632.584,87.824,27.582,277.547029032904,0.107319136157988,3.67571148325673,120.788624163668,5.76367916603339, 270.0         , 9598.0       , 3008.0        , 1535.0       , 402.0               , 26874.0            , 4181.0              , 3546.0             , 1.49             , 2.8             , 1.39             , 2.31
TERHATHUM      , TERHATHUM      ,2020, 2076/77, Koshi Province        ,314.5,3009.18017578125,1394.34899902344, SV      , UF2            , CMg          ,670.592,87.552,27.154,301.62103337383,0.104251495127099,3.0688005653897,119.227259378819,6.14254417466116, 64.0          , 12117.0      , 2603.0        , 2400.0       , 85.0                , 32615.0            , 3269.0              , 5064.0             , 1.33             , 2.69            , 1.26             , 2.11
UDAYAPUR       , UDAYAPUR       ,2020, 2076/77, Koshi Province        ,75.8946075439453,2333.26196289062,425.963882446289, SV      , UF2            , CMg          ,2297.514,86.684,26.903,393.637565198524,0.127308461101252,2.64114980273531,96.2177494463199,6.10875011258569, 25.0          , 17907.0      , 2963.0        , 5130.0       , 39.0                , 42350.0            , 5589.0              , 14108.0            , 1.54             , 2.37            , 1.89             , 2.75
ACHHAM         , ACHHAM         ,2022, 2078/79, Sudurpashchim Province,326.0,3808.05981445312,1309.40710449219, TM      , MA2            , RGe          ,1700.448,81.299,29.112,340.802369515909,0.157029261043055,3.00074424062216,50.6899062359667,6.16690186329933, 412.0         , 6688.0       , 3857.0        , 14730.0      , 455.0               , 20714.0            , 4912.0              , 24676.0            , 1.1              , 3.1             , 1.27             , 1.68
ARGHAKHANCHI   , ARGHAKHANCHI   ,2022, 2078/79, Lumbini Province      ,184.144287109375,2259.11962890625,989.529876708984, TH      , SC2            , RGd          ,1239.185,83.081,27.908,326.970778707167,0.113508838927416,2.90825089048057,124.945358732945,6.3781995512863, 375.0         , 16955.0      , 511.0         , 7340.0       , 388.0               , 54975.0            , 577.0               , 19955.0            , 1.03             , 3.24            , 1.13             , 2.72
BAGLUNG        , BAGLUNG        ,2022, 2078/79, Gandaki Province      ,581.0,4640.00634765625,2237.62829589844, TM      , MA2            , LPi          ,1836.212,83.252,28.347,301.71833667512,0.137939779891388,2.87585215197176,162.636879612817,5.99541631943854, 90.0          , 18850.0      , 18456.0       , 6900.0       , 120.0               , 64260.0            , 23247.0             , 17319.0            , 1.33             , 3.41            , 1.26             , 2.51
BAITADI        , BAITADI        ,2022, 2078/79, Sudurpashchim Province,383.0,3062.84936523438,1600.75384521484, TM      , MA2            , RGe          ,1492.847,80.573,29.508,546.882015889854,0.102074697927388,4.26701608064358,111.017300274489,6.65541103098621, 671.0         , 10864.0      , 354.0         , 15400.0      , 812.0               , 32078.0            , 408.0               , 24122.0            , 1.21             , 2.95            , 1.15             , 1.57
BAJHANG        , BAJHANG        ,2022, 2078/79, Sudurpashchim Province,816.846618652344,6978.16748046875,3263.2109375, TM      , MA2            , LPi          ,3459.458,81.18,29.708,362.654876253919,0.245082961239427,4.79692400785621,43.4871587045748,6.37618445095215, 2354.0        , 4050.0       , 2761.0        , 10927.0      , 4102.0              , 6599.0             , 3525.0              , 21944.0            , 1.74             , 1.63            , 1.28             , 2.01
BAJURA         , BAJURA         ,2022, 2078/79, Sudurpashchim Province,716.6943359375,6740.23046875,2824.30493164062, TM      , MA2            , LPi          ,2298.212,81.565,29.561,420.803985473592,0.186727956908787,3.82257966722719,46.7148833740073,6.57536184498176, 1470.0        , 3293.0       , 5870.0        , 10450.0      , 1970.0              , 4850.0             , 5907.0              , 15675.0            , 1.34             , 1.47            , 1.01             , 1.5
BANKE          , BANKE          ,2022, 2078/79, Lumbini Province      ,128.293518066406,1228.09741210938,190.792510986328, TH      , SC2            , RGd          ,1880.856,81.824,28.087,226.092447656513,0.0984524809801277,1.80850183834179,137.272537912381,7.27620145407441, 8.0           , 19545.0      , N/A           , 23500.0      , 11.0                , 62192.0            , N/A                 , 79000.0            , 1.37             , 3.18            , N/A              , 3.36
BARA           , BARA           ,2022, 2078/79, Madhesh Province      ,68.0,905.923034667969,114.3837890625, TH      , SC2            , RGd          ,1272.886,85.073,27.108,155.885986185727,0.103949104410351,2.06294401295367,46.9307805000198,6.82882429435896, 38.0          , 11940.0      , 76.0          , 27103.0      , 41.0                , 46653.0            , 88.0                , 94650.0            , 1.08             , 3.91            , 1.16             , 3.49
BARDIYA        , BARDIYA        ,2022, 2078/79, Lumbini Province      ,133.0,1577.2587890625,179.127197265625, LV      , UF1            , CMg          ,2001.342,81.403,28.384,239.769610604303,0.101674459195698,1.80130098294358,106.86149249042,7.33923232386757, 8.0           , 5350.0       , N/A           , 23500.0      , 12.0                , 20008.0            , N/A                 , 79500.0            , 1.5              , 3.74            , N/A              , 3.38
